;ip;country;continent;subdivisions;timezone;date;time;time_zone;method;url_sheme;url_netloc;url_path;url_params;url_querty;url_fragment;http;status_code;size_object;exit_system;os;browser;device
0;54.36.149.41;US;NA;frozenset({'NJ'});America/New_York;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/filter/27|13%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,27|%DA%A9%D9%85%D8%AA%D8%B1%20%D8%A7%D8%B2%205%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,p53;no url params;no url query;no url fragment;HTTP/1.1;200;30577;Mozilla;Other;AhrefsBot;Spider
1;31.56.96.51;IR;AS;frozenset();Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/60844/productModel/200x200;no url params;no url query;no url fragment;HTTP/1.1;200;5667;Mozilla;Android;Chrome Mobile;ALE-L21
2;31.56.96.51;IR;AS;frozenset();Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/61474/productModel/200x200;no url params;no url query;no url fragment;HTTP/1.1;200;5379;Mozilla;Android;Chrome Mobile;ALE-L21
3;40.77.167.129;US;NA;frozenset();None;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/14925/productModel/100x100;no url params;no url query;no url fragment;HTTP/1.1;200;1696;Mozilla;Other;bingbot;Spider
4;91.99.72.15;IR;AS;frozenset({'07'});Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/product/31893/62100/%D8%B3%D8%B4%D9%88%D8%A7%D8%B1-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR257AT;no url params;no url query;no url fragment;HTTP/1.1;200;41483;Mozilla;Windows;Firefox;Other
5;40.77.167.129;US;NA;frozenset();None;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/23488/productModel/150x150;no url params;no url query;no url fragment;HTTP/1.1;200;2654;Mozilla;Other;bingbot;Spider
6;40.77.167.129;US;NA;frozenset();None;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/45437/productModel/150x150;no url params;no url query;no url fragment;HTTP/1.1;200;3688;Mozilla;Other;bingbot;Spider
7;40.77.167.129;US;NA;frozenset();None;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/576/article/100x100;no url params;no url query;no url fragment;HTTP/1.1;200;14776;Mozilla;Other;bingbot;Spider
8;66.249.66.194;US;NA;frozenset({'CA'});America/Los_Angeles;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/filter/b41,b665,c150%7C%D8%A8%D8%AE%D8%A7%D8%B1%D9%BE%D8%B2,p56;no url params;no url query;no url fragment;HTTP/1.1;200;34277;Mozilla;Other;Googlebot;Spider
9;40.77.167.129;US;NA;frozenset();None;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/57710/productModel/100x100;no url params;no url query;no url fragment;HTTP/1.1;200;1695;Mozilla;Other;bingbot;Spider
10;207.46.13.136;US;NA;frozenset({'WA'});America/Los_Angeles;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/product/10214;no url params;no url query;no url fragment;HTTP/1.1;200;39677;Mozilla;Other;bingbot;Spider
11;40.77.167.129;US;NA;frozenset();None;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/578/article/100x100;no url params;no url query;no url fragment;HTTP/1.1;200;9831;Mozilla;Other;bingbot;Spider
12;178.253.33.51;IR;AS;frozenset();Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/m/product/32574/62991/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD-%D8%B5%D9%88%D8%B1%D8%AA-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR465AT;no url params;no url query;no url fragment;HTTP/1.1;200;20406;Mozilla;Android;Chrome Mobile;HTC Desire 728 dual sim
13;40.77.167.129;US;NA;frozenset();None;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/6229/productModel/100x100;no url params;no url query;no url fragment;HTTP/1.1;200;1796;Mozilla;Other;bingbot;Spider
14;91.99.72.15;IR;AS;frozenset({'07'});Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/product/10075/13903/%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D9%81%D8%B1-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-CE288;no url params;no url query;no url fragment;HTTP/1.1;200;41725;Mozilla;Linux;Chrome;Other
15;40.77.167.129;US;NA;frozenset();None;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/6229/productModel/150x150;no url params;no url query;no url fragment;HTTP/1.1;200;2739;Mozilla;Other;bingbot;Spider
16;207.46.13.136;US;NA;frozenset({'WA'});America/Los_Angeles;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/product/14926;no url params;no url query;no url fragment;HTTP/1.1;404;33617;Mozilla;Other;bingbot;Spider
17;40.77.167.129;US;NA;frozenset();None;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/6248/productModel/150x150;no url params;no url query;no url fragment;HTTP/1.1;200;2788;Mozilla;Other;bingbot;Spider
18;40.77.167.129;US;NA;frozenset();None;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/64815/productModel/150x150;no url params;no url query;no url fragment;HTTP/1.1;200;3481;Mozilla;Other;bingbot;Spider
19;66.249.66.194;US;NA;frozenset({'CA'});America/Los_Angeles;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/m/filter/b2,p6;no url params;no url query;no url fragment;HTTP/1.1;200;19451;Mozilla;Android;Googlebot;Spider
20;91.99.72.15;IR;AS;frozenset({'07'});Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/product/32798/63266/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%DB%8C%D9%86%D8%AC%D8%B1-%D9%85%D8%AF%D9%84-pearl-SR7;no url params;no url query;no url fragment;HTTP/1.1;200;40250;Mozilla;Linux;Chrome;Other
21;178.253.33.51;IR;AS;frozenset();Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/settings/logo;no url params;no url query;no url fragment;HTTP/1.1;200;4120;Mozilla;Android;Chrome Mobile;HTC Desire 728 dual sim
22;66.249.66.91;US;NA;frozenset({'CA'});America/Los_Angeles;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/filter/b874%2Cb32%2Cb63%2Cb99%2Cb126%2Cb820%2Cb249%2Cb3%2Cb148%2Cb724%2Cb613%2Cb183%2Cb213%2Cb484%2Cb224%2Cb734%2Cb20%2Cb95%2Cb542%2Cb212%2Cb485%2Cb523%2Cb221%2Cb118%2Cb186%2Cb67;no url params;page=4;no url fragment;HTTP/1.1;200;39660;Mozilla;Other;Googlebot;Spider
23;31.56.96.51;IR;AS;frozenset();Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/60819/productModel/200x200;no url params;no url query;no url fragment;HTTP/1.1;200;7171;Mozilla;Android;Chrome Mobile;ALE-L21
24;31.56.96.51;IR;AS;frozenset();Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/60847/productModel/200x200;no url params;no url query;no url fragment;HTTP/1.1;200;5667;Mozilla;Android;Chrome Mobile;ALE-L21
25;178.253.33.51;IR;AS;frozenset();Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/32574;no url params;name=pr465at.jpg&wh=max;no url fragment;HTTP/1.1;200;28825;Mozilla;Android;Chrome Mobile;HTC Desire 728 dual sim
26;5.78.198.52;IR;AS;frozenset({'04'});Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29;no url params;no url query;no url fragment;HTTP/1.1;200;21931;Mozilla;Android;Samsung Internet;Samsung SM-G950F
27;178.253.33.51;IR;AS;frozenset();Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/image/32574;no url params;name=pr465at3.jpg&wh=max;no url fragment;HTTP/1.1;200;24001;Mozilla;Android;Chrome Mobile;HTC Desire 728 dual sim
28;207.46.13.136;US;NA;frozenset({'WA'});America/Los_Angeles;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/product/30649;no url params;model=60398;no url fragment;HTTP/1.1;200;41198;Mozilla;Other;bingbot;Spider
29;91.99.72.15;IR;AS;frozenset({'07'});Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/product/7793/9663/%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D9%81%D8%B1-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-ME201;no url params;no url query;no url fragment;HTTP/1.1;200;40889;Mozilla;Linux;Chrome;Other
30;5.78.198.52;IR;AS;frozenset({'04'});Asia/Tehran;2020-01-22;09:03:56;+0330;GET;no url scheme;no url netloc;/settings/logo;no url params;no url query;no url fragment;HTTP/1.1;200;4120;Mozilla;Android;Samsung Internet;Samsung SM-G950F
